"Industry Sector","Type of Employee","Quarter","Statistic Label","UNIT","VALUE"
"All Industries (NACE 1-4)","All Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","681.53"
"All Industries (NACE 1-4)","All Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","682.2"
"All Industries (NACE 1-4)","All Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","695.49"
"All Industries (NACE 1-4)","All Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","690.73"
"All Industries (NACE 1-4)","All Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","702"
"All Industries (NACE 1-4)","All Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","706.37"
"All Industries (NACE 1-4)","All Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","723.3"
"All Industries (NACE 1-4)","All Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","730.12"
"All Industries (NACE 1-4)","All Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","738.07"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","536.84"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","538.79"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","539.53"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","539.8"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","552.23"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","562.04"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","561.97"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","566.4"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","579.6"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","588.29"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","594.81"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","590.39"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","595.8"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","608.86"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","629.06"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","623"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","641.43"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","665.15"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","668.53"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","668.45"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","683.77"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","710.75"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","724.45"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","746.42"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","755.44"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","749.09"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","760.02"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","758.16"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","788.13"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","800.81"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","803.69"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","801.13"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","817.77"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","836.19"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","842.73"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","843.92"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","853.32"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","871.33"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","870.75"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","869.56"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","887.48"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","885.52"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","890.06"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","895.24"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","906.63"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","931.57"
"All Industries (NACE 1-4)","Clerical and Managerial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","930.29"
"All Industries (NACE 1-4)","Clerical Employees","1995Q3","Average Weekly Earnings (Euro)","Euro","415.69"
"All Industries (NACE 1-4)","Clerical Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","420.47"
"All Industries (NACE 1-4)","Clerical Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","424.5"
"All Industries (NACE 1-4)","Clerical Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","429.32"
"All Industries (NACE 1-4)","Clerical Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","429.96"
"All Industries (NACE 1-4)","Clerical Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","442"
"All Industries (NACE 1-4)","Clerical Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","443.8"
"All Industries (NACE 1-4)","Clerical Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","449.58"
"All Industries (NACE 1-4)","Clerical Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","452.69"
"All Industries (NACE 1-4)","Clerical Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","462.07"
"All Industries (NACE 1-4)","Clerical Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","470.03"
"All Industries (NACE 1-4)","Clerical Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","478.81"
"All Industries (NACE 1-4)","Clerical Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","482.87"
"All Industries (NACE 1-4)","Clerical Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","486.73"
"All Industries (NACE 1-4)","Clerical Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","500.29"
"All Industries (NACE 1-4)","Clerical Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","517.06"
"All Industries (NACE 1-4)","Clerical Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","514.37"
"All Industries (NACE 1-4)","Clerical Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","532.45"
"All Industries (NACE 1-4)","Clerical Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","553.78"
"All Industries (NACE 1-4)","Clerical Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","559.99"
"All Industries (NACE 1-4)","Clerical Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","554.39"
"All Industries (NACE 1-4)","Clerical Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","560.63"
"All Industries (NACE 1-4)","Clerical Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","571.62"
"All Industries (NACE 1-4)","Clerical Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","586.02"
"All Industries (NACE 1-4)","Clerical Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","601.61"
"All Industries (NACE 1-4)","Clerical Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","606.25"
"All Industries (NACE 1-4)","Clerical Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","608.67"
"All Industries (NACE 1-4)","Clerical Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","624.09"
"All Industries (NACE 1-4)","Clerical Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","624.08"
"All Industries (NACE 1-4)","Clerical Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","648.13"
"All Industries (NACE 1-4)","Clerical Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","649.56"
"All Industries (NACE 1-4)","Clerical Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","651.77"
"All Industries (NACE 1-4)","Clerical Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","653.24"
"All Industries (NACE 1-4)","Clerical Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","669.59"
"All Industries (NACE 1-4)","Clerical Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","680.71"
"All Industries (NACE 1-4)","Clerical Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","684.71"
"All Industries (NACE 1-4)","Clerical Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","689.16"
"All Industries (NACE 1-4)","Clerical Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","700.5"
"All Industries (NACE 1-4)","Clerical Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","713.69"
"All Industries (NACE 1-4)","Clerical Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","711.44"
"All Industries (NACE 1-4)","Clerical Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","710.76"
"All Industries (NACE 1-4)","Clerical Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","725.53"
"All Industries (NACE 1-4)","Clerical Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","729.34"
"All Industries (NACE 1-4)","Clerical Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","735.66"
"All Industries (NACE 1-4)","Clerical Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","738.31"
"All Industries (NACE 1-4)","Clerical Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","746.21"
"All Industries (NACE 1-4)","Clerical Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","767.45"
"All Industries (NACE 1-4)","Clerical Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","772.07"
"All Industries (NACE 1-4)","Managerial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro","642.97"
"All Industries (NACE 1-4)","Managerial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","654.46"
"All Industries (NACE 1-4)","Managerial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","657.74"
"All Industries (NACE 1-4)","Managerial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","657.23"
"All Industries (NACE 1-4)","Managerial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","655.87"
"All Industries (NACE 1-4)","Managerial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","671.97"
"All Industries (NACE 1-4)","Managerial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","690.28"
"All Industries (NACE 1-4)","Managerial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","681.96"
"All Industries (NACE 1-4)","Managerial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","684.5"
"All Industries (NACE 1-4)","Managerial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","701.42"
"All Industries (NACE 1-4)","Managerial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","714.61"
"All Industries (NACE 1-4)","Managerial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","720.32"
"All Industries (NACE 1-4)","Managerial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","704.23"
"All Industries (NACE 1-4)","Managerial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","708.32"
"All Industries (NACE 1-4)","Managerial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","720.64"
"All Industries (NACE 1-4)","Managerial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","743.85"
"All Industries (NACE 1-4)","Managerial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","732.84"
"All Industries (NACE 1-4)","Managerial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","750.22"
"All Industries (NACE 1-4)","Managerial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","782.84"
"All Industries (NACE 1-4)","Managerial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","781.35"
"All Industries (NACE 1-4)","Managerial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","786.13"
"All Industries (NACE 1-4)","Managerial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","811.77"
"All Industries (NACE 1-4)","Managerial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","853.18"
"All Industries (NACE 1-4)","Managerial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","863.55"
"All Industries (NACE 1-4)","Managerial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","891.71"
"All Industries (NACE 1-4)","Managerial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","902.56"
"All Industries (NACE 1-4)","Managerial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","889.41"
"All Industries (NACE 1-4)","Managerial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","901.94"
"All Industries (NACE 1-4)","Managerial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","897.33"
"All Industries (NACE 1-4)","Managerial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","934.2"
"All Industries (NACE 1-4)","Managerial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","958.11"
"All Industries (NACE 1-4)","Managerial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","962.31"
"All Industries (NACE 1-4)","Managerial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","954.27"
"All Industries (NACE 1-4)","Managerial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","972.21"
"All Industries (NACE 1-4)","Managerial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","998.77"
"All Industries (NACE 1-4)","Managerial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","1008.72"
"All Industries (NACE 1-4)","Managerial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","1005.32"
"All Industries (NACE 1-4)","Managerial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","1015.75"
"All Industries (NACE 1-4)","Managerial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","1035.16"
"All Industries (NACE 1-4)","Managerial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","1041.8"
"All Industries (NACE 1-4)","Managerial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","1039.1"
"All Industries (NACE 1-4)","Managerial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","1062.07"
"All Industries (NACE 1-4)","Managerial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","1050.56"
"All Industries (NACE 1-4)","Managerial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","1050.89"
"All Industries (NACE 1-4)","Managerial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","1051.7"
"All Industries (NACE 1-4)","Managerial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","1067.41"
"All Industries (NACE 1-4)","Managerial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","1096.88"
"All Industries (NACE 1-4)","Managerial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","1093.12"
"All Industries (NACE 1-4)","Industrial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro",""
"All Industries (NACE 1-4)","Industrial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro",""
"Transportable Goods Industries (NACE 1-3)","All Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Transportable Goods Industries (NACE 1-3)","All Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","393.75"
"Transportable Goods Industries (NACE 1-3)","All Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","393.32"
"Transportable Goods Industries (NACE 1-3)","All Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","399.4"
"Transportable Goods Industries (NACE 1-3)","All Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","396.29"
"Transportable Goods Industries (NACE 1-3)","All Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","411.37"
"Transportable Goods Industries (NACE 1-3)","All Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","409.57"
"Transportable Goods Industries (NACE 1-3)","All Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","413.56"
"Transportable Goods Industries (NACE 1-3)","All Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","415.75"
"Transportable Goods Industries (NACE 1-3)","All Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","427.9"
"Transportable Goods Industries (NACE 1-3)","All Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","429.85"
"Transportable Goods Industries (NACE 1-3)","All Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","436.7"
"Transportable Goods Industries (NACE 1-3)","All Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","435.37"
"Transportable Goods Industries (NACE 1-3)","All Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","444.3"
"Transportable Goods Industries (NACE 1-3)","All Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","447.62"
"Transportable Goods Industries (NACE 1-3)","All Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","464.25"
"Transportable Goods Industries (NACE 1-3)","All Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","465.81"
