"Statistic Label","Broad Nationality Group","Sex","Industry Sector NACE Rev 2","Year","UNIT","VALUE"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2006","Number","123"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2007","Number","137"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2008","Number","197"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2009","Number","242"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2010","Number","272"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","260"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2012","Number","254"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2013","Number","273"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2014","Number","327"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2015","Number","318"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","423"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2017","Number","500"
"Foreign Nationals in Employment","All nationalities","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2018","Number","561"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2005","Number","1177"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2006","Number","1791"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2007","Number","2497"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2008","Number","2769"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2009","Number","2437"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2010","Number","2267"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2011","Number","2228"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2012","Number","1992"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2013","Number","1976"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2014","Number","2063"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2015","Number","2024"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2016","Number","2150"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2017","Number","2314"
"Foreign Nationals in Employment","All nationalities","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2018","Number","2721"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2005","Number","27808"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2006","Number","44408"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2007","Number","50500"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2008","Number","38680"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2009","Number","21457"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2010","Number","12777"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2011","Number","9453"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2012","Number","8071"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2013","Number","8031"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2014","Number","8763"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2015","Number","9873"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2016","Number","13416"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2017","Number","16788"
"Foreign Nationals in Employment","All nationalities","Both sexes","Construction (F)","2018","Number","19005"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2005","Number","33606"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2006","Number","49513"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2007","Number","67236"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2008","Number","71793"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2009","Number","59091"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2010","Number","53635"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2011","Number","51310"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2012","Number","51256"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2013","Number","51782"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2014","Number","54274"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2015","Number","56887"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2016","Number","60146"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2017","Number","63804"
"Foreign Nationals in Employment","All nationalities","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2018","Number","68478"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2005","Number","6834"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2006","Number","10446"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2007","Number","14368"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2008","Number","16519"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2009","Number","13867"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2010","Number","12911"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2011","Number","14294"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2012","Number","12055"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2013","Number","12264"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2014","Number","12420"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2015","Number","12991"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2016","Number","15235"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2017","Number","17678"
"Foreign Nationals in Employment","All nationalities","Both sexes","Transportation and storage (H)","2018","Number","20302"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2005","Number","48164"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2006","Number","64743"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2007","Number","78521"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2008","Number","78997"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2009","Number","64385"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2010","Number","58336"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2011","Number","57649"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2012","Number","58644"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2013","Number","58516"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2014","Number","59682"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2015","Number","59880"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2016","Number","71864"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2017","Number","77032"
"Foreign Nationals in Employment","All nationalities","Both sexes","Accommodation and food service activities (I)","2018","Number","82635"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2005","Number","6075"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2006","Number","9557"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2007","Number","12593"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2008","Number","15304"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2009","Number","13080"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2010","Number","12967"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2011","Number","14197"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2012","Number","16376"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2013","Number","17791"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2014","Number","21047"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2015","Number","23332"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2016","Number","28108"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2017","Number","31657"
"Foreign Nationals in Employment","All nationalities","Both sexes","Information and communication (J)","2018","Number","35848"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2005","Number","4799"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2006","Number","7779"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2007","Number","8618"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2008","Number","9728"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2009","Number","9326"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2010","Number","9273"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2011","Number","8636"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2012","Number","9519"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2013","Number","10320"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2014","Number","10152"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2015","Number","11602"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2016","Number","13787"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2017","Number","14507"
"Foreign Nationals in Employment","All nationalities","Both sexes","Financial and insurance activities (K)","2018","Number","16045"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2005","Number","1071"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2006","Number","1662"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2007","Number","2503"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2008","Number","2588"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2009","Number","2090"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2010","Number","1909"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2011","Number","2146"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2012","Number","2301"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2013","Number","2387"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2014","Number","3158"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2015","Number","3312"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2016","Number","3705"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2017","Number","4198"
"Foreign Nationals in Employment","All nationalities","Both sexes","Real estate activities (L)","2018","Number","4720"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2005","Number","7149"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2006","Number","11959"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2007","Number","15229"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2008","Number","15905"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2009","Number","12420"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2010","Number","11555"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2011","Number","11374"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2012","Number","11733"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2013","Number","11949"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2014","Number","13062"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2015","Number","14082"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2016","Number","18876"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2017","Number","21100"
"Foreign Nationals in Employment","All nationalities","Both sexes","Professional, scientific and technical activities (M)","2018","Number","25137"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2005","Number","32137"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2006","Number","46321"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2007","Number","58128"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2008","Number","57060"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2009","Number","44924"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2010","Number","41479"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2011","Number","40760"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2012","Number","43052"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2013","Number","42626"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2014","Number","45322"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2015","Number","49147"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2016","Number","57398"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2017","Number","62765"
"Foreign Nationals in Employment","All nationalities","Both sexes","Administrative and support service activities (N)","2018","Number","68534"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2005","Number","1245"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2006","Number","1840"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2007","Number","2229"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2008","Number","2713"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2009","Number","3390"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2010","Number","3713"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","2965"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2012","Number","6163"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2013","Number","6194"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2014","Number","6138"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2015","Number","6480"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","7426"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2017","Number","8050"
"Foreign Nationals in Employment","All nationalities","Both sexes","Public administration and defence; compulsory social security (O)","2018","Number","9074"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2005","Number","3358"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2006","Number","4225"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2007","Number","5467"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2008","Number","6538"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2009","Number","8080"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2010","Number","7856"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2011","Number","7245"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2012","Number","8520"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2013","Number","9156"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2014","Number","9107"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2015","Number","9617"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2016","Number","10744"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2017","Number","11732"
"Foreign Nationals in Employment","All nationalities","Both sexes","Education (P)","2018","Number","13213"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2005","Number","10900"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2006","Number","15091"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2007","Number","20477"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2008","Number","23527"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2009","Number","24184"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2010","Number","24036"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2011","Number","24871"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2012","Number","21524"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2013","Number","21623"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2014","Number","23439"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2015","Number","24053"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2016","Number","27622"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2017","Number","30594"
"Foreign Nationals in Employment","All nationalities","Both sexes","Human health and social work activities (Q)","2018","Number","33724"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2005","Number","2837"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2006","Number","4014"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2007","Number","5060"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2008","Number","5433"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2009","Number","5068"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2010","Number","4449"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2011","Number","3996"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2012","Number","3878"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2013","Number","3958"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2014","Number","3743"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2015","Number","3872"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2016","Number","3909"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2017","Number","4258"
"Foreign Nationals in Employment","All nationalities","Both sexes","Arts, entertainment and recreation (R)","2018","Number","4602"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2005","Number","2893"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2006","Number","4220"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2007","Number","5871"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2008","Number","6319"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2009","Number","5929"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2010","Number","5886"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2011","Number","5873"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2012","Number","6179"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2013","Number","6312"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2014","Number","6744"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2015","Number","7029"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2016","Number","7789"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2017","Number","8597"
"Foreign Nationals in Employment","All nationalities","Both sexes","Other service activities (S)","2018","Number","9673"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2005","Number","109"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2006","Number","140"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2007","Number","182"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2008","Number","229"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2009","Number","218"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2010","Number","257"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2011","Number","302"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2012","Number","313"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2013","Number","286"
"Foreign Nationals in Employment","All nationalities","Both sexes","Activities of households as employers; producing activities of households for own use (T)","2014","Number","206"
